LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,SEP
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,156.4
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,61.6
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,89
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,40.2
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,53
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,199.5
-108.38,28.42,CHIH,YEPCH,YEPACHE,125
-92.8,16.55,CHIS,ACACP,ACALA,285.9
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,269
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,488
-93.15,16.64,CHIS,BOQCP,BOQUERON,392.4
-92.72,15.35,CHIS,CACCP,CACALUTA,702.2
-92.48,16.31,CHIS,CASCP,CASCAJAL,194.5
-93.1,16.93,CHIS,CHICP,CHICOASEN,377.7
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,395.4
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,348.3
-92.58,15.2,CHIS,DESCP,DESPOBLADO,451.5
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,548
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,665
-93.13,16.64,CHIS,GRICP,GRIJALVA,338.9
-92.47,15.13,CHIS,HUICP,HUIXTLA,578.3
-92.73,15.87,CHIS,JAPCP,JALTENANGO,292
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),68.8
-93.56,16.7,CHIS,LFLCP,LAS FLORES,395.1
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),388.6
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,555.5
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,339.5
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,348.4
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,712.1
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,215.2
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",444.7
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,316
-92.67,15.92,CHIS,REFCP,REFORMA,475.5
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,266.1
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,372.8
-93.38,17.43,CHIS,SAYCP,SAYULA,431
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,290.9
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,325.1
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,419.1
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,321.2
-92.82,16.94,CHIS,SNACP,SANTA MARIA,427.3
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),644.5
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,412.8
-93.75,16.09,CHIS,TONCP,TONALA,526.4
-93.53,15.88,CHIS,TPICP,TRES PICOS,517.7
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,304.9
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,388.2
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,209.5
-93.33,17.12,CHIS,YAMCP,YAMANHO,579.1
-100.84,28.34,COAH,ADLCL,ALLENDE,116
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,102.8
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,88.5
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,88.5
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,33.9
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,118.9
-100.65,26.84,COAH,CDLCL,CANDELA,278.4
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,51
-103.47,25.54,COAH,CYTCL,COYOTE,48
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,99.4
-100.82,28.82,COAH,LFGCL,LA FRAGUA,63.8
-103.28,25.07,COAH,LFLDR,LA FLOR,51
-103.2,25.6,COAH,MATCL,MATAMOROS SL,62.1
-101.42,26.91,COAH,MCVCL,MONCLOVA,139.4
-101.51,27.88,COAH,MZQCL,MUZQUIZ,272
-102.4,27.32,COAH,OCMCL,OCAMPO,37
-102.18,25.44,COAH,PARCL,PARRAS,123.9
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,80.4
-101,25.46,COAH,PRSCL,PROGRESO,112
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,43
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),156.7
-101.12,27.84,COAH,SBNCL,SABINAS,127
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,110.5
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,89.3
-102.98,25.76,COAH,SPECL,SAN PEDRO,34.3
-101.02,25.38,COAH,STOCL,SALTILLO,70
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,63.1
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,100
-101.9,29,COAH,ZPTCL,ZAPATA,94
-103.61,19.25,COL,BVSCM,BUENA VISTA,543
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,300.1
-103.71,19.3,COL,CHNCM,EL CHANAL,525.6
-103.63,18.81,COL,CLLCM,CALLEJONES,391.5
-103.76,19.32,COL,CMLCM,COMALA,580.5
-103.8,19.21,COL,CQMCM,COQUIMATLAN,478
-103.6,19.33,COL,CUACM,CUAHTEMOC,488.9
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,415
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,248.6
-103.73,19.22,COL,LPSCM,LA POSTA,457
-104.32,19.04,COL,MNZCM,MANZANILLO,462.5
-103.82,19.27,COL,PNTCM,PEÒITAS,460.6
-103.73,19.22,COL,RDRCM,RADAR,447.5
-103.7,19.41,COL,SCHCM,SUCHITLAN,376.9
-103.88,18.93,COL,TCMCM,TECOMAN,330.5
-103.52,19.25,COL,TRJCM,TROJES,434
-103.66,19.28,COL,TRPCM,TRAPICHE,497
-99.21,19.22,DF,AJSDF,AJUSCO,155.9
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",227.9
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,273.8
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,258.4
