LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION,ENE
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,3.5
-105.7,26.9,CHIH,PRRCH,PARRAL,4.5
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,8.8
-106.5,26.4,CHIH,RVGCH,RANCHO DEL VERGEL,12.2
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,13.6
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,5
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,17.2
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,3.5
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,23
-108.38,28.42,CHIH,YEPCH,YEPACHE,10
-92.8,16.55,CHIS,ACACP,ACALA,0
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,0.2
-91.91,15.78,CHIS,AQECP,AQUEXPALA,18.5
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,0
-93.15,16.64,CHIS,BOQCP,BOQUERON,2.3
-92.72,15.35,CHIS,CACCP,CACALUTA,5.8
-92.48,16.31,CHIS,CASCP,CASCAJAL,4
-93.1,16.93,CHIS,CHICP,CHICOASEN,10.7
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,24
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,8.6
-92.58,15.2,CHIS,DESCP,DESPOBLADO,18
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,0
-93.13,16.64,CHIS,GRICP,GRIJALVA,5.8
-92.47,15.13,CHIS,HUICP,HUIXTLA,46.8
-92.73,15.87,CHIS,JAPCP,JALTENANGO,3.5
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),0
-90.7,16.58,CHIS,LACCP,LACANTUN,125.9
-93.56,16.7,CHIS,LFLCP,LAS FLORES,3.2
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),99.1
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,516
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,17.5
-93.45,17.41,CHIS,PE•CP,PRESA PE—ITAS,345.9
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,0
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,221.6
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",0
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,169.8
-92.67,15.92,CHIS,REFCP,REFORMA,7.5
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,0
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,264.3
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,3.3
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,2.1
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,0
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,35.2
-93.75,16.09,CHIS,TONCP,TONALA,0
-93.53,15.88,CHIS,TPICP,TRES PICOS,0
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,0.6
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,3.6
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,0
-93.33,17.12,CHIS,YAMCP,YAMANHO,139.8
-100.84,28.34,COAH,ADLCL,ALLENDE,19
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,26
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,15.6
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,15.6
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,3.3
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,36
-100.65,26.84,COAH,CDLCL,CANDELA,8.5
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,53
-103.47,25.54,COAH,CYTCL,COYOTE,0.9
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,39.3
-103.28,25.07,COAH,LFLDR,LA FLOR,0
-103.2,25.6,COAH,MATCL,MATAMOROS SL,0
-101.42,26.91,COAH,MCVCL,MONCLOVA,16.6
-101.51,27.88,COAH,MZQCL,MUZQUIZ,11
-102.4,27.32,COAH,OCMCL,OCAMPO,0.3
-102.18,25.44,COAH,PARCL,PARRAS,3
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,37
-101,25.46,COAH,PRSCL,PROGRESO,9
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),30.7
-101.12,27.84,COAH,SBNCL,SABINAS,8
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,19
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,0
-102.98,25.76,COAH,SPECL,SAN PEDRO,0
-101.02,25.38,COAH,STOCL,SALTILLO,13
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,0
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,2.5
-101.9,29,COAH,ZPTCL,ZAPATA,39
-103.61,19.25,COL,BVSCM,BUENA VISTA,34
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,2.5
-103.71,19.3,COL,CHNCM,EL CHANAL,36.2
-103.63,18.81,COL,CLLCM,CALLEJONES,24
-103.76,19.32,COL,CMLCM,COMALA,85.3
-103.8,19.21,COL,CQMCM,COQUIMATLAN,58.1
-103.6,19.33,COL,CUACM,CUAHTEMOC,31
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,45.5
-103.87,19.17,COL,LAECM,LA ESPERANZA,74
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,13.5
-103.73,19.22,COL,LPSCM,LA POSTA,55
-104.32,19.04,COL,MNZCM,MANZANILLO,213.5
-103.82,19.27,COL,PNTCM,PEÒITAS,40
-103.73,19.22,COL,RDRCM,RADAR,87.5
-103.7,19.41,COL,SCHCM,SUCHITLAN,67.1
-103.88,18.93,COL,TCMCM,TECOMAN,33.5
-103.52,19.25,COL,TRJCM,TROJES,6
-103.66,19.28,COL,TRPCM,TRAPICHE,33
-99.21,19.22,DF,AJSDF,AJUSCO,20.5
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",1.3
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,0.2
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,0
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,0.8
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,2.5
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,12.7
-99.18,19.42,DF,CHLDF,CHAPULTEPEC LAGO,0.2
-99.14,19.47,DF,CMTDF,CIEN METROS,2.7
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,4.4
-99.09,19.19,DF,CTNDF,CUAUTENCO,1.6
-99.09,19.48,DF,CYLDF,COYOL,2.1
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,2
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,0
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,3.3
-99.15,19.38,DF,DVLDF,DEL VALLE,0.5
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,0
-99.29,19.36,DF,EYQDF,EL YAQUI,5.4
-99.35,19.3,DF,EZCDF,EL ZARCO,0
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),0.5
-99.26,19.31,DF,HYTDF,HUAYATLA,0.2
-99.3,19.34,DF,LVNDF,LA VENTA,4.5
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,7.8
-99.13,19.4,DF,MCRDF,M. CARRILLO,0.5
-99.03,19.19,DF,MLPDF,MILPA ALTA,0.4
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),9.9
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,0.5
-99.1,19.38,DF,PBADF,P. B. ACULCO,1
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,6.1
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,0
-99.17,19.44,DF,PBTDF,P. B. TIZOC,0.7
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,2
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,0
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,0
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,0
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,1.8
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,0.2
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,2.7
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,3.2
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,0.3
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,0
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,2.3
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",3.3
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,13.9
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,0
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,0.8
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),0.7
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,0.2
-99,19.17,DF,SANDF,SANTA ANA,0
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,1.3
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,0
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,10.1
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,0.2
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,0.5
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),0
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,5.3
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,5.4
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,0.5
-99.21,19.4,DF,TNGDF,TRIANGULO,0.8
-99.14,19.2,DF,TPJDF,TOPILEJO,3
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,0
-99.21,19.36,DF,TRGDF,TARANGO,0
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,0.5
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,9.4
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),3.3
-98.97,19.21,DF,TTLDF,TETELCO,0
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),6.4
