Lon,Lat,Clave,Edo,Est,Tmed
-89.68,20.65,ABAYC,YUC,"Abal·, Yuc.",21.4
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",17.2
-92.8,16.55,ACACP,CHIS,"Acala, Chis.",22.6
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",25
-105.38,22.47,ACAPONETA,NAY,"Acaponeta, Nay. SMN*",24.3
-96.84,19.7,ACAVC,VER,"Acatl·n, Ver.",12.9
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",17.5
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",11.3
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",13.1
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",15.5
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",16
-110.23,29.82,ACNSO,SON,"Aconchi, Son.",13
-98.91,19.64,ACOSE,MEX,"Acolman, MÈx. SGIRPC*",13.4
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",13
-106.65,24.05,ACTSI,SIN,"Acatit·n, Sin.",21
-96.59,19.5,ACTVC,VER,"Actopan, Ver.",21.4
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",27.6
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",10.8
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",21.5
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",17.4
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",22.2
-102.31,21.9,AGSAG,AGS,"Aguascalientes, Ags.",14.8
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",6.7
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",18.1
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",10.8
-102.44,21.6,AJJJL,JAL,"Ajoj˙car, Jal.",13.7
