Lon,Lat,Clave,Edo,Est,Tmed
-89.68,20.65,ABAYC,YUC,"Abal·, Yuc.",23.9
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",21
-98.39,24.07,ABSTP,TAMP,"Abasolo, Tamps.",24.8
-92.8,16.55,ACACP,CHIS,"Acala, Chis.",25.6
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",27.2
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",28.3
-105.38,22.47,ACAPONETA,NAY,"Acaponeta, Nay. SMN*",28.4
-96.84,19.7,ACAVC,VER,"Acatl·n, Ver.",16
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",18
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",15.3
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",20.6
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",9.9
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",19.8
-110.23,29.82,ACNSO,SON,"Aconchi, Son.",27.6
-98.91,19.64,ACOSE,MEX,"Acolman, MÈx. SGIRPC*",18
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",17.5
-96.59,19.5,ACTVC,VER,"Actopan, Ver.",25.6
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",27.6
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",26
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",28.9
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",21.8
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",22.8
-98.14,18.94,AFRPB,PUE,"¡fricam, Pue.",16.8
-102.31,21.9,AGSAG,AGS,"Aguascalientes, Ags.",19.4
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",17.2
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",27.4
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",14.5
-102.44,21.6,AJJJL,JAL,"Ajoj˙car, Jal.",21
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",27.3
-100.01,25.27,AL2NL,NL,"Allende Dos, N. L.",25.4
-107.38,25.09,AL2SI,SIN,"El Varejonal hidromÈtrica, Sin.",28.5
-97.68,20.93,ALAVC,VER,"¡lamo Temapache, Ver.",26.7
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",14.5
-116.91,32.44,ALRBN,BC,"Abelardo L. RodrÌguez, B.C.",24.2
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",30.2
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",15.3
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",23.2
-99.65,19.48,ALZATE,MEX,"Alzate, MÈx. SGT*",16.1
-104.07,25.26,AM2DR,DGO,"AgustÌn Melgar, Dgo. SMN*",24
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",19.4
-99.38,18.6,AMCMR,MOR,"Amacuzac, Mor.",22.9
-98.77,18.76,AMIMR,MOR,"Amilcingo, Mor.",21
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",26.9
-92.78,16.4,ANGCP,CHIS,"Doctor Belisario DomÌnguez, Chis.",24.9
-100.13,27.24,ANHNL,NL,"An·huac, N.L.",27.9
-109.89,27.82,AOBSO,SON,"¡lvaro ObregÛn, Son.",30.9
-97.84,20.41,APAPB,PUE,"Apapantilla, Pue.",26.5
-104.49,26.23,APRDR,DGO,"Ing. BenjamÌn Ortega Cantero, Dgo.",22.6
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",20.6
-102.37,19.08,APTMC,MICH,"Apatzing·n, Mich.",26.8
-109.54,31.33,APTSO,SON,"Agua Prieta, Son.",25.2
-100.93,25.56,ARACL,COAH,"Ramos Arizpe Aeropuerto, Coah.",21.5
-99.22,19.57,ARBMX,MEX,"Las Arboledas, MÈx.",17.9
-108.7,25.7,ARCSI,SIN,"Adolfo RuÌz CortÌnes, Sin.",30.4
-109.11,27.23,ARCSO,SON,"Adolfo RuÌz CortÌnes, Son.",28.9
-95.44,18.58,ARCVC,VER,"¡ngel Rosario Cabada, Ver.",26.6
-109.09,30.07,ARISO,SON,"Aribabi, Son.",21.6
-93.9,16.24,AROCP,CHIS,"Observatorio de Arriaga, Chis.",26
-99.82,24.1,ARRNL,NL,"Aramberri, N.L.",22.6
-110.17,30.34,ARZSO,SON,"Arizpe, Son.",29.2
-99.91,24.32,ASCNL,NL,"La AscensiÛn, N.L.",17.6
-101.63,20.5,ATBGJ,GTO,"Agua Tibia, Gto.",20.1
-98.35,21.02,ATCHD,HGO,"Atlapexco, Hgo.",25.5
-98.91,19.54,ATEMX,MEX,"Atenco, MÈx.",17.8
-96.53,17.43,ATEOX,OAX,"Atepec, Oax.",17.2
-103.46,21.81,ATGZC,ZAC,"Atolinga, Zac.",18.6
-98.93,18.95,ATLMR,MOR,"Atlatlahucan, Mor.",20.2
-98.42,18.92,ATXPB,PUE,"Atlixco, Pue.",18
-100.43,17.21,ATYGR,GRO,"Atoyac, Gro.",26.5
-96.72,19.71,ATZVC,VER,"Atzalan, Ver.",13.2
-97.88,20.39,AVCPB,PUE,"¡vila Camacho, Pue.",27.8
-107.47,25.03,AWSSI,SIN,"Andrew Weiss, Sin.",28.2
-99.1,16.95,AYUGR,GRO,"Ayutla, Gro.",26.3
-113.56,28.9,BAABN,BC,"BahÌa de los ¡ngeles, B.C. SMN*",28.2
-107.26,28.77,BACCH,CHIH,"BachÌniva, Chih.",17.5
-96.72,17.07,BAEOX,OAX,"Base AÈrea, Oax.",21.8
-97.93,22.39,BALTP,TAMP,"Bombas Altamira, Tamps.",27.9
-96.94,19.59,BANVC,VER,"Banderilla, Ver.",17.2
-100.41,20.5,BATQT,QRO,"El Bat·n, Qro.",18.9
-104.06,19.91,BBAJL,JAL,"Basilio Vadillo, Jal.",26.6
-110.24,30.6,BCNSO,SON,"Bacanuchi, Son.",24.2
-108.93,30.36,BCRSO,SON,"Bacerac, Son.",25.7
-103.72,22.41,BCSJL,JAL,"Bocas, Jal.",23.1
-91.48,17.43,BDCTB,TAB,"Boca del Cerro, Tab.",27.3
-98.11,18.91,BDDPB,PUE,"Manuel ¡vila Camacho, Pue.",16.7
-89.22,19.88,BECYC,YUC,"BecanchÈn, Yuc.",22.3
-98.96,21.75,BLMSL,SLP,"Ballesmi, S.L.P.",27.3
-103.78,21.83,BLNJL,JAL,"BolaÒos, Jal.",26.4
-91.49,17.43,BOCADELCERRO,TAB,"Boca del Cerro, Tab. SGT*",27.3
-89.74,20,BOLCA,CAMP,"BolonchÈn, Camp.",27.5
-93.15,16.64,BOQCP,CHIS,"BoquerÛn, Chis.",25.9
-95.93,16.65,BOQOX,OAX,"Boquilla 1, Oax.",27.6
-99.12,24.08,BR1TP,TAMP,"El Barretal Uno, Tamps.",25.9
-96.93,19.48,BRIVC,VER,"Briones, Ver.",18.9
-101.84,21.05,BRRGJ,GTO,"El Barrial, Gto.",20.5
-99.22,24.1,BRRTP,TAMP,"El Barretal, Tamps.",27.6
-108.21,28.21,BSSCH,CHIH,"Basaseachi, Chih.",18.5
-102.95,22.82,BTEZC,ZAC,"RamÛn LÛpez Velarde, Zac.",18.1
-107.72,27.03,BTPCH,CHIH,"Batopilas, Chih.",28.5
-107.9,27.9,BTVCH,CHIH,"Batovira, Chih.",12.8
-103.61,19.25,BVSCM,COL,"Buenavista, Col.",24
-99.4,18.46,BVSGR,GRO,"Buena Vista, Gro.",21.9
-100.66,18.35,CA2GR,GRO,"Ciudad Altamirano, Gro. SMN*",28.4
-99.74,24.99,CABNL,NL,"Cabezones, N.L.",25.3
