Lon,Lat,Clave,Edo,Est,Tmed
-89.68,20.65,ABAYC,YUC,"Abal·, Yuc.",22.7
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",19.9
-92.8,16.55,ACACP,CHIS,"Acala, Chis.",24.4
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",26.5
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",22.8
-105.38,22.47,ACAPONETA,NAY,"Acaponeta, Nay. SMN*",22.5
-96.84,19.7,ACAVC,VER,"Acatl·n, Ver.",14.7
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",19.6
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",12.6
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",15
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",11
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",18
-110.23,29.82,ACNSO,SON,"Aconchi, Son.",12.1
-98.91,19.64,ACOSE,MEX,"Acolman, MÈx. SGIRPC*",15.5
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",14.7
-106.65,24.05,ACTSI,SIN,"Acatit·n, Sin.",19.7
-96.59,19.5,ACTVC,VER,"Actopan, Ver.",23.4
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",25.5
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",15.8
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",30.6
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",19.6
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",23
-98.14,18.94,AFRPB,PUE,"¡fricam, Pue.",17.7
-116.2,32.27,AGHBN,BC,"Agua Hechicera, B.C.",6
-102.31,21.9,AGSAG,AGS,"Aguascalientes, Ags.",15.6
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",6
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",23.1
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",13
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",23.6
-100.01,25.27,AL2NL,NL,"Allende Dos, N. L.",18
-107.38,25.09,AL2SI,SIN,"El Varejonal hidromÈtrica, Sin.",20.6
-97.68,20.93,ALAVC,VER,"¡lamo Temapache, Ver.",22.2
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",11.8
-116.91,32.44,ALRBN,BC,"Abelardo L. RodrÌguez, B.C.",13.4
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",13.2
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",14.3
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",22.6
-104.07,25.26,AM2DR,DGO,"AgustÌn Melgar, Dgo. SMN*",15.8
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",16.3
-99.38,18.6,AMCMR,MOR,"Amacuzac, Mor.",21.7
-98.77,18.76,AMIMR,MOR,"Amilcingo, Mor.",20.6
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",15.5
-92.78,16.4,ANGCP,CHIS,"Doctor Belisario DomÌnguez, Chis.",24.8
-100.13,27.24,ANHNL,NL,"An·huac, N.L.",18.3
-102.46,22.19,ANVAG,AGS,"Cincuenta Aniversario, Ags.",11
-109.89,27.82,AOBSO,SON,"¡lvaro ObregÛn, Son.",19.7
-97.84,20.41,APAPB,PUE,"Apapantilla, Pue.",22.5
-104.49,26.23,APRDR,DGO,"Ing. BenjamÌn Ortega Cantero, Dgo.",14.3
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",18.3
-102.37,19.08,APTMC,MICH,"Apatzing·n, Mich.",25.9
-109.54,31.33,APTSO,SON,"Agua Prieta, Son.",8.3
-100.93,25.56,ARACL,COAH,"Ramos Arizpe Aeropuerto, Coah.",16.8
-99.22,19.57,ARBMX,MEX,"Las Arboledas, MÈx.",17.4
-108.7,25.7,ARCSI,SIN,"Adolfo RuÌz CortÌnes, Sin.",18.6
-109.11,27.23,ARCSO,SON,"Adolfo RuÌz CortÌnes, Son.",17.7
-95.44,18.58,ARCVC,VER,"¡ngel Rosario Cabada, Ver.",23.4
-93.9,16.24,AROCP,CHIS,"Observatorio de Arriaga, Chis.",27.4
-99.82,24.1,ARRNL,NL,"Aramberri, N.L.",19.9
-110.17,30.34,ARZSO,SON,"Arizpe, Son.",8.3
-99.91,24.32,ASCNL,NL,"La AscensiÛn, N.L.",14.7
-101.63,20.5,ATBGJ,GTO,"Agua Tibia, Gto.",17
-98.35,21.02,ATCHD,HGO,"Atlapexco, Hgo.",22.9
-98.91,19.54,ATEMX,MEX,"Atenco, MÈx.",16.8
-96.53,17.43,ATEOX,OAX,"Atepec, Oax.",19.9
-103.46,21.81,ATGZC,ZAC,"Atolinga, Zac.",15.8
-98.93,18.95,ATLMR,MOR,"Atlatlahucan, Mor.",19.5
-98.42,18.92,ATXPB,PUE,"Atlixco, Pue.",19.2
-100.43,17.21,ATYGR,GRO,"Atoyac, Gro.",27.5
-96.72,19.71,ATZVC,VER,"Atzalan, Ver.",11.5
-97.88,20.39,AVCPB,PUE,"¡vila Camacho, Pue.",23.1
-107.47,25.03,AWSSI,SIN,"Andrew Weiss, Sin.",19.8
-99.1,16.95,AYUGR,GRO,"Ayutla, Gro.",29.5
-113.56,28.9,BAABN,BC,"BahÌa de los ¡ngeles, B.C. SMN*",19.7
-107.26,28.77,BACCH,CHIH,"BachÌniva, Chih.",7.1
-96.72,17.07,BAEOX,OAX,"Base AÈrea, Oax.",20.5
-97.93,22.39,BALTP,TAMP,"Bombas Altamira, Tamps.",23.6
-96.94,19.59,BANVC,VER,"Banderilla, Ver.",18.8
-100.41,20.5,BATQT,QRO,"El Bat·n, Qro.",16.1
