Lon,Lat,Clave,Edo,Est,Tmed
-89.68,20.65,ABAYC,YUC,"Abal·, Yuc.",23.8
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",20.7
-98.39,24.07,ABSTP,TAMP,"Abasolo, Tamps.",23.7
-92.8,16.55,ACACP,CHIS,"Acala, Chis.",25.8
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",28
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",29.5
-105.38,22.47,ACAPONETA,NAY,"Acaponeta, Nay. SMN*",29.1
-96.84,19.7,ACAVC,VER,"Acatl·n, Ver.",15.4
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",18.8
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",13.9
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",19
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",5.9
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",19.2
-110.23,29.82,ACNSO,SON,"Aconchi, Son.",21.4
-98.91,19.64,ACOSE,MEX,"Acolman, MÈx. SGIRPC*",16.2
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",15.7
-106.65,24.05,ACTSI,SIN,"Acatit·n, Sin.",27.1
-96.59,19.5,ACTVC,VER,"Actopan, Ver.",25.7
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",28.1
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",21.8
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",27.5
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",20.9
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",23.7
-116.2,32.27,AGHBN,BC,"Agua Hechicera, B.C.",12.3
-102.31,21.9,AGSAG,AGS,"Aguascalientes, Ags.",20
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",13.4
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",26
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",12.7
-102.44,21.6,AJJJL,JAL,"Ajoj˙car, Jal.",19.2
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",26.1
-100.01,25.27,AL2NL,NL,"Allende Dos, N. L.",22.2
-107.38,25.09,AL2SI,SIN,"El Varejonal hidromÈtrica, Sin.",26.8
-97.68,20.93,ALAVC,VER,"¡lamo Temapache, Ver.",25.4
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",13.5
-116.91,32.44,ALRBN,BC,"Abelardo L. RodrÌguez, B.C.",19.9
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",22.4
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",14.9
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",23.5
-99.65,19.48,ALZATE,MEX,"Alzate, MÈx. SGT*",15.6
-104.07,25.26,AM2DR,DGO,"AgustÌn Melgar, Dgo. SMN*",21.7
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",18.6
-99.38,18.6,AMCMR,MOR,"Amacuzac, Mor.",24
-98.77,18.76,AMIMR,MOR,"Amilcingo, Mor.",21.6
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",21.9
-92.78,16.4,ANGCP,CHIS,"Doctor Belisario DomÌnguez, Chis.",25.8
-100.13,27.24,ANHNL,NL,"An·huac, N.L.",23.5
-102.46,22.19,ANVAG,AGS,"Cincuenta Aniversario, Ags.",16.8
-109.89,27.82,AOBSO,SON,"¡lvaro ObregÛn, Son.",27.6
-97.84,20.41,APAPB,PUE,"Apapantilla, Pue.",27.2
-104.49,26.23,APRDR,DGO,"Ing. BenjamÌn Ortega Cantero, Dgo.",19.9
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",20
-102.37,19.08,APTMC,MICH,"Apatzing·n, Mich.",27
