LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,JUN
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,27.1
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,104.9
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,13.5
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,74.4
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,24
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,14.5
-108.38,28.42,CHIH,YEPCH,YEPACHE,174
-92.8,16.55,CHIS,ACACP,ACALA,288.2
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,260.1
-91.91,15.78,CHIS,AQECP,AQUEXPALA,333.1
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,359.4
-93.15,16.64,CHIS,BOQCP,BOQUERON,265.3
-92.72,15.35,CHIS,CACCP,CACALUTA,593.4
-92.48,16.31,CHIS,CASCP,CASCAJAL,204.2
-93.1,16.93,CHIS,CHICP,CHICOASEN,288.2
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,362.8
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,398.2
-92.58,15.2,CHIS,DESCP,DESPOBLADO,295.5
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,302
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,312.1
-93.13,16.64,CHIS,GRICP,GRIJALVA,245.6
-92.47,15.13,CHIS,HUICP,HUIXTLA,302.9
-92.73,15.87,CHIS,JAPCP,JALTENANGO,328.7
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),131.8
-90.7,16.58,CHIS,LACCP,LACANTUN,495.4
-93.56,16.7,CHIS,LFLCP,LAS FLORES,427.3
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),368.4
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,472.6
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,273.6
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,436.8
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,422.5
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,140.1
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",44.2
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,465
-92.67,15.92,CHIS,REFCP,REFORMA,441.6
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,265.8
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,539.8
-93.38,17.43,CHIS,SAYCP,SAYULA,480.3
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,247.6
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,293.6
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,419.3
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,426.9
-92.82,16.94,CHIS,SNACP,SANTA MARIA,403.1
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),361.5
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,284.4
-93.75,16.09,CHIS,TONCP,TONALA,223.9
-93.53,15.88,CHIS,TPICP,TRES PICOS,230.5
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,326.7
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,248
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,357.5
-93.33,17.12,CHIS,YAMCP,YAMANHO,206.8
-100.84,28.34,COAH,ADLCL,ALLENDE,208
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,57.4
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,185.7
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,185.7
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,11.1
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,50.4
-100.65,26.84,COAH,CDLCL,CANDELA,45
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,67.6
-103.47,25.54,COAH,CYTCL,COYOTE,6.4
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,72.6
-100.82,28.82,COAH,LFGCL,LA FRAGUA,61
-103.28,25.07,COAH,LFLDR,LA FLOR,13.5
-103.2,25.6,COAH,MATCL,MATAMOROS SL,19
-101.42,26.91,COAH,MCVCL,MONCLOVA,23.1
-101.51,27.88,COAH,MZQCL,MUZQUIZ,88
-102.4,27.32,COAH,OCMCL,OCAMPO,42.5
-102.18,25.44,COAH,PARCL,PARRAS,33
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,551.2
-101,25.46,COAH,PRSCL,PROGRESO,35
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,59
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),61.4
-101.12,27.84,COAH,SBNCL,SABINAS,16
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,150
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,6
-102.98,25.76,COAH,SPECL,SAN PEDRO,16.9
-101.02,25.38,COAH,STOCL,SALTILLO,17.5
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,7
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,68.5
-101.9,29,COAH,ZPTCL,ZAPATA,131
-103.61,19.25,COL,BVSCM,BUENA VISTA,61
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,103.5
-103.71,19.3,COL,CHNCM,EL CHANAL,69.5
-103.63,18.81,COL,CLLCM,CALLEJONES,146.5
-103.76,19.32,COL,CMLCM,COMALA,49.8
-103.8,19.21,COL,CQMCM,COQUIMATLAN,81.9
-103.6,19.33,COL,CUACM,CUAHTEMOC,132
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,65
-103.87,19.17,COL,LAECM,LA ESPERANZA,40.3
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,81
-103.73,19.22,COL,LPSCM,LA POSTA,77.8
-104.32,19.04,COL,MNZCM,MANZANILLO,49
-103.82,19.27,COL,PNTCM,PEÒITAS,52.4
-103.73,19.22,COL,RDRCM,RADAR,93
-103.7,19.41,COL,SCHCM,SUCHITLAN,49.9
-103.88,18.93,COL,TCMCM,TECOMAN,53
-103.52,19.25,COL,TRJCM,TROJES,235.7
-103.66,19.28,COL,TRPCM,TRAPICHE,52.3
-99.21,19.22,DF,AJSDF,AJUSCO,181.3
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",80.5
-99.15,19.5,DF,CBIIDF,ESC. CIENCIAS BIOLOGICAS II,12.4
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,139.8
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,153.2
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,118.2
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,129.5
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,161.9
-99.14,19.47,DF,CMTDF,CIEN METROS,91.3
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,69.2
-99.09,19.19,DF,CTNDF,CUAUTENCO,78.5
-99.09,19.48,DF,CYLDF,COYOL,146.9
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,72
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,74.9
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,170.1
-99.15,19.38,DF,DVLDF,DEL VALLE,74.1
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,117.6
-99.29,19.36,DF,EYQDF,EL YAQUI,109.8
-99.35,19.3,DF,EZCDF,EL ZARCO,207.4
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),157.9
-99.26,19.31,DF,HYTDF,HUAYATLA,111.8
-99.3,19.34,DF,LVNDF,LA VENTA,157.1
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,237.6
-99.13,19.4,DF,MCRDF,M. CARRILLO,86.8
-99.03,19.19,DF,MLPDF,MILPA ALTA,119.3
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),157
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,81.9
-99.1,19.38,DF,PBADF,P. B. ACULCO,73.7
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),93.4
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,125.7
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,78.7
-99.17,19.44,DF,PBTDF,P. B. TIZOC,92.8
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,79
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,125.1
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,109.1
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,71.9
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,185
