  LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION, ABR
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,0
-104.4,29.57,CHIH,OJNCH,OJINAGA,0
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,0
-105.7,26.9,CHIH,PRRCH,PARRAL,0
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,27.5
-106.5,26.4,CHIH,RVGCH,RANCHO DEL VERGEL,0
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,0
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,0
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,0
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,0
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,0
-108.38,28.42,CHIH,YEPCH,YEPACHE,0
-92.8,16.55,CHIS,ACACP,ACALA,24.8
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,7.5
-91.91,15.78,CHIS,AQECP,AQUEXPALA,4.1
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,0
-93.15,16.64,CHIS,BOQCP,BOQUERON,0.5
-92.72,15.35,CHIS,CACCP,CACALUTA,45.8
-92.48,16.31,CHIS,CASCP,CASCAJAL,52
-93.1,16.93,CHIS,CHICP,CHICOASEN,0.2
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,22.1
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,9.6
-92.58,15.2,CHIS,DESCP,DESPOBLADO,16.2
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,14
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,13.7
-93.13,16.64,CHIS,GRICP,GRIJALVA,0
-92.47,15.13,CHIS,HUICP,HUIXTLA,63.1
-92.73,15.87,CHIS,JAPCP,JALTENANGO,5
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),0
-90.7,16.58,CHIS,LACCP,LACANTUN,23.4
-93.56,16.7,CHIS,LFLCP,LAS FLORES,0
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),8.9
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,48.5
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,303.5
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,1
-93.45,17.41,CHIS,PE•CP,PRESA PE—ITAS,45
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,3.7
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,17.9
-91.99,17.53,CHIS,PLQCP,"PALENQUE, (AUTOMATICA)",0
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,25.5
-92.67,15.92,CHIS,REFCP,REFORMA,3.1
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,5.2
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,16
-93.38,17.43,CHIS,SAYCP,SAYULA,120.2
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,33.8
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,39.1
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,4
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,0.8
-92.82,16.94,CHIS,SNACP,SANTA MARIA,37.5
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),155
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,126.9
-93.75,16.09,CHIS,TONCP,TONALA,6.5
-93.53,15.88,CHIS,TPICP,TRES PICOS,1.2
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,0
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,0
-93.33,17.12,CHIS,YAMCP,YAMANHO,23.9
-100.84,28.34,COAH,ADLCL,ALLENDE,0
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,19.1
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,0
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,0
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,4
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,12.5
-100.65,26.84,COAH,CDLCL,CANDELA,14
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,6
-103.47,25.54,COAH,CYTCL,COYOTE,0
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,0
-100.82,28.82,COAH,LFGCL,LA FRAGUA,2.5
-103.28,25.07,COAH,LFLDR,LA FLOR,0
-103.2,25.6,COAH,MATCL,MATAMOROS SL,0
-101.42,26.91,COAH,MCVCL,MONCLOVA,26.1
-101.51,27.88,COAH,MZQCL,MUZQUIZ,8
-102.18,25.44,COAH,PARCL,PARRAS,0
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,1.4
-101,25.46,COAH,PRSCL,PROGRESO,2
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,5
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),0
-101.12,27.84,COAH,SBNCL,SABINAS,36
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,34
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,2.5
-102.98,25.76,COAH,SPECL,SAN PEDRO,0
-101.02,25.38,COAH,STOCL,SALTILLO,2
