Lon,Lat,Clave,Edo,Est,Tmed
-101.51,20.43,ABSGJ,GTO,ABASOLO,19.1
-116.9,32.44,ALRBN,BC,ABELARDO L. RODRIGUEZ,18.3
-97.97,20.17,ACJPB,PUE,ACAJETE                           *,14.5
-92.8,16.55,ACACP,CHIS,ACALA,24
-100.71,20.03,ACNGJ,GTO,ACAMBARO,17.7
-105.35,22.49,ACANR,NAY,ACAPONETA,27.4
-105.33,22.5,ACAPONETA,NAY,ACAPONETA,26.9
-99.75,16.76,76805,GRO,ACAPULCO,28.7
-99.75,16.76,ACUGR,GRO,ACAPULCO (EHCA),28
-99.91,16.82,ACAPULCOMAR,GRO,ACAPULCO SEMAR,29
-106.65,24.04,ACTSI,SIN,ACATITLAN,24.6
-96.84,19.7,ACAVC,VER,ACATLAN,13.7
-98.06,18.28,ADOPB,PUE,ACATLAN DE OSORIO,22.6
-103.23,22.33,ACHZC,ZAC,ACHIMEC,16.9
-110.21,30,ACNSO,SON,ACONCHI,18.2
-98.94,20.26,ACTHD,HGO,ACTOPAN,14.1
-96.58,19.49,ACTVC,VER,ACTOPAN,23.1
-103.13,20.32,ACHAPALAGDL,JAL,ACUEDUCTO CHAPALA-GUADALAJARA,17.7
-99.5,17.5,AERGR,GRO,AEROPUERTO,22.8
-100.94,19.55,AGOMC,MICH,AGOSTITLAN,15.4
-109.54,31.32,APTSO,SON,AGUA PRIETA,14.2
-104.48,26.23,APRDR,DGO,AGUA PUERCA,14.5
-101.62,20.49,ATBGJ,GTO,AGUA TIBIA,16.9
-102.29,21.85,76571,AGS,AGUASCALIENTES,16.8
-102.3,21.89,AGSAG,AGS,AGUASCALIENTES,17.2
-104.07,25.26,AM2DR,DGO,AGUSTIN MELGAR (EHCA),16.4
-98.98,17.72,AHUGR,GRO,AHUACUOTZINGO,15
-98.14,20.03,AHUPB,PUE,AHUAZOTEPEC,10.8
-100.84,21.59,AJJJL,JAL,AJOJUCAR,17
-102.59,22.18,ALMAG,AGS,ALAMITOS (CAMPAMENTO),11.6
-97.41,19.45,ACHPB,PUE,ALCHICHICA,11.9
-100.84,28.33,ADLCL,COAH,ALLENDE,14.5
-99.26,18.73,ALUMR,MOR,ALPUYECA,21.9
-111.83,30.71,76113,SON,ALTAR,18.3
-111.73,30.71,ALTSO,SON,ALTAR,19.1
-97.23,19.76,ALTVC,VER,ALTOTONGA,11.8
-99.96,19.66,ALZATE,MEX,ALZATE,13
-99.4,18.6,AMCMR,MOR,AMACUZAC,22.6
-100,27.23,ANHNL,NL,ANAHUAC,17
-107.46,25.03,AWSSI,SIN,ANDREW WEISS,24.8
-92.75,16.44,ANGCP,CHIS,ANGOSTURA,24.3
-98.34,26.13,ANZALDUAS,TAMPS,ANZALDUAS,18.7
-97.84,20.41,APAPB,PUE,APAPANTILLA,23.7
-102.27,19.08,APTMC,MICH,APATZINGAN                          *,25.7
