Lon,Lat,Clave,Edo,Est,Tmed
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",24.8
-98.39,24.07,ABSTP,TAMP,"Abasolo, Tamps.",25.1
-92.8,16.55,ACACP,CHIS,"Acala, Chis.",28.3
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",28.2
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",27.4
-105.38,22.47,ACAPONETA,NAY,"Acaponeta, Nay. SMN*",27.2
-96.84,19.7,ACAVC,VER,"Acatl·n, Ver.",16.5
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",21.9
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",16.6
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",22.6
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",13.1
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",22.8
-110.23,29.82,ACNSO,SON,"Aconchi, Son.",25.3
-98.91,19.64,ACOSE,MEX,"Acolman, MÈx. SGIRPC*",19.8
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",19.2
-96.59,19.5,ACTVC,VER,"Actopan, Ver.",26.8
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",26.6
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",25.4
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",32.8
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",23.5
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",25.4
-98.14,18.94,AFRPB,PUE,"¡fricam, Pue.",17.3
-116.2,32.27,AGHBN,BC,"Agua Hechicera, B.C.",15
-102.31,21.9,AGSAG,AGS,"Aguascalientes, Ags.",21.8
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",16.1
-99.15,22.99,AHLTP,TAMP,"Ahualulco, Tamps.",28
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",15.6
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",27.9
-100.01,25.27,AL2NL,NL,"Allende Dos, N. L.",24.3
-97.68,20.93,ALAVC,VER,"¡lamo Temapache, Ver.",26.5
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",16.9
-116.91,32.44,ALRBN,BC,"Abelardo L. RodrÌguez, B.C.",20.5
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",27
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",17.5
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",25.9
-99.65,19.48,ALZATE,MEX,"Alzate, MÈx. SGT*",15.9
-104.07,25.26,AM2DR,DGO,"AgustÌn Melgar, Dgo. SMN*",23.9
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",21.3
-99.38,18.6,AMCMR,MOR,"Amacuzac, Mor.",23.4
-98.77,18.76,AMIMR,MOR,"Amilcingo, Mor.",24.6
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",25.4
-92.78,16.4,ANGCP,CHIS,"Doctor Belisario DomÌnguez, Chis.",27.7
-100.13,27.24,ANHNL,NL,"An·huac, N.L.",26.5
-102.46,22.19,ANVAG,AGS,"Cincuenta Aniversario, Ags.",22.2
-109.89,27.82,AOBSO,SON,"¡lvaro ObregÛn, Son.",29.6
-97.84,20.41,APAPB,PUE,"Apapantilla, Pue.",26.5
-104.49,26.23,APRDR,DGO,"Ing. BenjamÌn Ortega Cantero, Dgo.",23
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",22.7
-102.37,19.08,APTMC,MICH,"Apatzing·n, Mich.",29
-109.54,31.33,APTSO,SON,"Agua Prieta, Son.",22.8
-100.93,25.56,ARACL,COAH,"Ramos Arizpe Aeropuerto, Coah.",22.8
-99.22,19.57,ARBMX,MEX,"Las Arboledas, MÈx.",20.3
-108.7,25.7,ARCSI,SIN,"Adolfo RuÌz CortÌnes, Sin.",26
