LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,OCT
-107.64,27.76,CHIH,CRLCH,CREEL,34
-106.11,28.61,CHIH,ERECH,PRESA EL REJON,10.7
-105.63,28.17,CHIH,FIMCH,P. FRANCISCO I. MADERO,2
-108.3,29.2,CHIH,GPCCH,GUAPOCA,82.3
-107.28,26.68,CHIH,GRCCH,GUERACHIC,14.2
-106.96,26.1,CHIH,GYCCH,GUADALUPE Y CALVO,18.5
-107.88,26.87,CHIH,IGNCH,SAN IGNACIO,23.7
-104.92,27.12,CHIH,JMNCH,JIMENEZ,0
-105.39,27.54,CHIH,LBQCH,LA BOQUILLA,0
-106.98,29.94,CHIH,LJSCH,PRESA LAS LAJAS,22
-105.28,28.98,CHIH,LLNCH,PRESA LUIS L. LEON,2.5
-104.4,29.57,CHIH,OJNCH,OJINAGA,13.5
-105.55,26.55,CHIH,PAGCH,PICO DE AGUILA,0
-105.7,26.9,CHIH,PRRCH,PARRAL,1.3
-106.09,28.66,CHIH,QIJCH,OBSERVATORIO CHIHUAHUA,10.7
-107.85,28.95,CHIH,TMCCH,TEMOSACHIC,79.2
-107.4,29.56,CHIH,TNTCH,PRESA EL TINTERO,11.1
-107.84,27.3,CHIH,URECH,URIQUE ESTACION  II,20.3
-105.16,26.75,CHIH,VICCH,VILLA CORONADO,0
-105.81,27.45,CHIH,VZRCH,VALLE DE ZARAGOZA,1.5
-108.38,28.42,CHIH,YEPCH,YEPACHE,122
-92.8,16.55,CHIS,ACACP,ACALA,134.6
-92.76,16.45,CHIS,ANGCP,ANGOSTURA,207.5
-93.9,16.24,CHIS,AROCP,ARRIAGA METEOROLOGICO,180.5
-93.15,16.64,CHIS,BOQCP,BOQUERON,91.7
-92.72,15.35,CHIS,CACCP,CACALUTA,653.8
-92.48,16.31,CHIS,CASCP,CASCAJAL,202.9
-93.1,16.93,CHIS,CHICP,CHICOASEN,78.1
-92.28,15.75,CHIS,CHMCP,CHICOMUSELO,410.6
-92.1,16.2,CHIS,COOCP,COMITAN METEOROLOGICO,210.2
