Lon,Lat,Clave,Edo,Est,Tmed
-89.68,20.65,ABAYC,YUC,"Abal·, Yuc.",24.3
-101.54,20.45,ABSGJ,GTO,"Abasolo, Gto.",21.9
-98.39,24.07,ABSTP,TAMP,"Abasolo, Tamps.",27.7
-92.8,16.55,ACACP,CHIS,"Acala, Chis.",26.8
-99.91,16.85,ACAGR,GRO,"Acapulco, Gro.",28.5
-105.35,22.49,ACANR,NAY,"Acaponeta, Nay.",29.1
-105.38,22.47,ACAPONETA,NAY,"Acaponeta, Nay. SMN*",29.5
-96.84,19.7,ACAVC,VER,"Acatl·n, Ver.",16
-98.83,18.95,ACHMR,MOR,"Achichipico, Mor.",19.1
-97.42,19.45,ACHPB,PUE,"Alchichilca, Pue.",14.9
-103.23,22.33,ACHZC,JAL,"Achimec, Jal.",21
-97.93,19.06,ACJPB,PUE,"Acajete, Pue.",10
-100.71,20.03,ACNGJ,GTO,"Ac·mbaro, Gto.",20.3
-110.23,29.82,ACNSO,SON,"Aconchi, Son.",29.8
-98.91,19.64,ACOSE,MEX,"Acolman, MÈx. SGIRPC*",18.9
-98.94,20.27,ACTHD,HGO,"Actopan, Hgo.",17.9
-106.65,24.05,ACTSI,SIN,"Acatit·n, Sin.",29.1
-96.59,19.5,ACTVC,VER,"Actopan, Ver.",26.8
-99.75,16.76,ACUGR,GRO,"Acapulco, Gro. SMN*",28.4
-100.84,28.34,ADLCL,COAH,"Allende, Coah.",29.1
-98.06,18.28,ADOPB,PUE,"Acatl·n de Osorio, Pue.",30.5
-100.68,20.53,AEGGJ,GTO,"Apaseo el Grande, Gto.",22
-99.52,17.58,AERGR,GRO,"Observatorio de Chilpancingo Aeropuerto, Gro.",24.2
-98.14,18.94,AFRPB,PUE,"¡fricam, Pue.",16.9
-116.2,32.27,AGHBN,BC,"Agua Hechicera, B.C.",22.4
-102.31,21.9,AGSAG,AGS,"Aguascalientes, Ags.",19.9
-107.48,28.48,AGZCH,CHIH,"Abraham Gonz·lez, Chih.",19.9
-98.15,20.03,AHUPB,PUE,"Ahuazontepec, Pue.",14
-102.44,21.6,AJJJL,JAL,"Ajoj˙car, Jal.",21.9
-98.56,21.97,AJTSL,SLP,"Las Adjuntas, S.L.P.",28.7
-100.01,25.27,AL2NL,NL,"Allende Dos, N. L.",27.6
-107.38,25.09,AL2SI,SIN,"El Varejonal hidromÈtrica, Sin.",30.2
-97.68,20.93,ALAVC,VER,"¡lamo Temapache, Ver.",27.7
-102.59,22.18,ALMAG,AGS,"Alamitos, Ags.",15.6
-116.91,32.44,ALRBN,BC,"Abelardo L. RodrÌguez, B.C.",23.2
-111.73,30.72,ALTSO,SON,"Observatorio de Altar, Son.",33.4
-97.23,19.76,ALTVC,VER,"Altotonga, Ver.",15.7
-99.26,18.73,ALUMR,MOR,"Alpuyeca, Mor.",23.1
-99.65,19.48,ALZATE,MEX,"Alzate, MÈx. SGT*",15.9
-104.07,25.26,AM2DR,DGO,"AgustÌn Melgar, Dgo. SMN*",25
-100.58,20.55,AMCGJ,GTO,"Ameche, Gto.",20.2
-99.38,18.6,AMCMR,MOR,"Amacuzac, Mor.",22.1
-98.77,18.76,AMIMR,MOR,"Amilcingo, Mor.",21.5
-101.06,29.45,AMSCL,COAH,"Internacional La Amistad, Coah.",28.7
-92.78,16.4,ANGCP,CHIS,"Doctor Belisario DomÌnguez, Chis.",25.3
-100.13,27.24,ANHNL,NL,"An·huac, N.L.",30.3
-102.46,22.19,ANVAG,AGS,"Cincuenta Aniversario, Ags.",18
-109.89,27.82,AOBSO,SON,"¡lvaro ObregÛn, Son.",33.2
-97.84,20.41,APAPB,PUE,"Apapantilla, Pue.",27.3
-104.49,26.23,APRDR,DGO,"Ing. BenjamÌn Ortega Cantero, Dgo.",24.5
-100.62,20.45,APSGJ,GTO,"Apaseo el Alto, Gto.",21.1
-102.37,19.08,APTMC,MICH,"Apatzing·n, Mich.",27.7
-109.54,31.33,APTSO,SON,"Agua Prieta, Son.",27.4
-100.93,25.56,ARACL,COAH,"Ramos Arizpe Aeropuerto, Coah.",23.7
-99.22,19.57,ARBMX,MEX,"Las Arboledas, MÈx.",18.7
-108.7,25.7,ARCSI,SIN,"Adolfo RuÌz CortÌnes, Sin.",31.3
-109.11,27.23,ARCSO,SON,"Adolfo RuÌz CortÌnes, Son.",30.6
-95.44,18.58,ARCVC,VER,"¡ngel Rosario Cabada, Ver.",27.9
-109.09,30.07,ARISO,SON,"Aribabi, Son.",22.5
-93.9,16.24,AROCP,CHIS,"Observatorio de Arriaga, Chis.",27.5
-99.82,24.1,ARRNL,NL,"Aramberri, N.L.",24.4
-110.17,30.34,ARZSO,SON,"Arizpe, Son.",28.4
-99.91,24.32,ASCNL,NL,"La AscensiÛn, N.L.",18.9
-101.63,20.5,ATBGJ,GTO,"Agua Tibia, Gto.",20.7
-98.35,21.02,ATCHD,HGO,"Atlapexco, Hgo.",27.3
-98.91,19.54,ATEMX,MEX,"Atenco, MÈx.",18.6
-96.53,17.43,ATEOX,OAX,"Atepec, Oax.",17.4
-103.46,21.81,ATGZC,ZAC,"Atolinga, Zac.",19
-98.93,18.95,ATLMR,MOR,"Atlatlahucan, Mor.",19.7
-98.42,18.92,ATXPB,PUE,"Atlixco, Pue.",19.3
-100.43,17.21,ATYGR,GRO,"Atoyac, Gro.",28.1
-96.72,19.71,ATZVC,VER,"Atzalan, Ver.",13.6
-97.88,20.39,AVCPB,PUE,"¡vila Camacho, Pue.",28.4
-107.47,25.03,AWSSI,SIN,"Andrew Weiss, Sin.",30.7
-99.1,16.95,AYUGR,GRO,"Ayutla, Gro.",27.7
-113.56,28.9,BAABN,BC,"BahÌa de los ¡ngeles, B.C. SMN*",27.7
-107.26,28.77,BACCH,CHIH,"BachÌniva, Chih.",20.1
-96.72,17.07,BAEOX,OAX,"Base AÈrea, Oax.",22.2
-97.93,22.39,BALTP,TAMP,"Bombas Altamira, Tamps.",29.3
-96.94,19.59,BANVC,VER,"Banderilla, Ver.",18.4
-100.41,20.5,BATQT,QRO,"El Bat·n, Qro.",19.3
-104.06,19.91,BBAJL,JAL,"Basilio Vadillo, Jal.",26.6
-110.24,30.6,BCNSO,SON,"Bacanuchi, Son.",26.7
-108.93,30.36,BCRSO,SON,"Bacerac, Son.",27.1
-103.72,22.41,BCSJL,JAL,"Bocas, Jal.",23.3
-91.48,17.43,BDCTB,TAB,"Boca del Cerro, Tab.",27.4
-98.11,18.91,BDDPB,PUE,"Manuel ¡vila Camacho, Pue.",16.9
-89.22,19.88,BECYC,YUC,"BecanchÈn, Yuc.",22.9
-98.96,21.75,BLMSL,SLP,"Ballesmi, S.L.P.",28.9
-103.78,21.83,BLNJL,JAL,"BolaÒos, Jal.",26.8
-110.22,30,BNMSO,SON,"Banamichi, Son.",29.2
-91.49,17.43,BOCADELCERRO,TAB,"Boca del Cerro, Tab. SGT*",27.4
-89.74,20,BOLCA,CAMP,"BolonchÈn, Camp.",27.8
-93.15,16.64,BOQCP,CHIS,"BoquerÛn, Chis.",26.8
-95.93,16.65,BOQOX,OAX,"Boquilla 1, Oax.",28.1
-99.12,24.08,BR1TP,TAMP,"El Barretal Uno, Tamps.",28.1
-96.93,19.48,BRIVC,VER,"Briones, Ver.",18.7
-101.84,21.05,BRRGJ,GTO,"El Barrial, Gto.",20.5
-99.22,24.1,BRRTP,TAMP,"El Barretal, Tamps.",30.2
-108.21,28.21,BSSCH,CHIH,"Basaseachi, Chih.",19.3
-102.95,22.82,BTEZC,ZAC,"RamÛn LÛpez Velarde, Zac.",19.2
-107.72,27.03,BTPCH,CHIH,"Batopilas, Chih.",29
-107.9,27.9,BTVCH,CHIH,"Batovira, Chih.",13.7
-103.61,19.25,BVSCM,COL,"Buenavista, Col.",25.7
-99.4,18.46,BVSGR,GRO,"Buena Vista, Gro.",25.2
-100.66,18.35,CA2GR,GRO,"Ciudad Altamirano, Gro. SMN*",29.8
-99.74,24.99,CABNL,NL,"Cabezones, N.L.",28.3
-92.72,15.35,CACCP,CHIS,"Cacaluta, Chis.",27
-95.74,18.37,CACVC,VER,"Carlos Arturo Carrillo, Ver.",29.1
-107.93,30.38,CAGCH,CHIH,"Observatorio de Nuevo Casas Grandes, Chih.",25.6
-104.7,24,CAGDR,DGO,"Campo AgrÌcola, Dgo.",20.6
-100.66,18.36,CALGR,GRO,"Ciudad Altamirano, Gro.",30
-99.7,19.33,CALMX,MEX,"Calixtlahuaca, MÈx.",15.3
-102.71,21.85,CALVILLO,AGS,"Calvillo, Ags. SMN*",22
-90.55,19.85,CAMCA,CAMP,"Campeche, Camp. SMN*",15.8
-99.58,24.87,CAMNL,NL,"Camacho, N.L.",28.8
-90.58,19.3,CANCA,CAMP,"Canasayab, Camp.",28.1
-86.82,21.16,CANQR,QROO,"Canc˙n, Q. Roo.",27.8
-89.08,20.46,CANYC,YUC,"Cantamayec, Yuc.",28.2
-105.11,21.83,CAPNR,NAY,"Capomal, Nay.",28.9
