Lon,Lat,Clave,Edo,Est,Tmed
-109.44,27.07,NVJSO,SON,"Navojoa, Son.",16.8
-102,22.02,NVLAG,AGS,"El Novillo, Ags.",11.1
-112.85,31.87,NYNSO,SON,"Sonoyta, Son.",9.3
-90.22,19.61,NYXCA,CAMP,"Noh-YaxchÈ, Camp.",24.4
-104.11,25.23,NZSDR,DGO,"Nazas, Dgo.",13.3
-99.03,18.92,OACMR,MOR,"Oacalco, Mor.",21.3
-96.73,17.07,OACOX,OAX,"Oaxaca Centro, Oax.",19.6
-96.7,17,OAOOX,OAX,"Observatorio de Aeropuerto Oaxaca, Oax.",19.6
-98.9,18.9,OAXMR,MOR,"Oaxtepec, Mor.",19.9
-107.19,24.25,OBISPO,SIN,"Obispo, Sin. SMN*",18.2
-102.29,21.85,OBSAG,AGS,"Observatorio de Aguascalientes, Ags.",14.3
-99.22,18.91,OBSMR,MOR,"Observatorio de Cuernavaca, Mor.",20.1
-99.19,19.62,OBSMX,MEX,"San MartÌn Obispo, MÈx.",14.7
-100.3,25.73,OBSNL,NL,"Observatorio de Monterrey, N.L.",15.4
-100.37,20.57,OBSQT,QRO,"Observatorio de QuerÈtaro, Qro.",17.2
-107.44,24.63,OBSSI,SIN,"Observatorio de Culiac·n, Sin.",18.7
-92.93,17.98,OBSTB,TAB,"Observatorio de Villahermosa, Tab.",24.3
-98.25,19.32,OBSTL,TLAX,"Observatorio de Tlaxcala, Tlax.",12.3
-102.27,22.58,OCAZC,ZAC,"Ojo Caliente, Zac.",11.8
-101.48,21.65,OCMGJ,GTO,"Ocampo, Gto.",14.8
-93.15,17.23,OCOTEPEC,CHIS,"Ocotepec, Chis. SGT*",15.1
-98.76,18.88,OCTMR,MOR,"Ocuituco, Mor.",18.2
-99.8,16.8,ODAGR,GRO,"Observatorio de Acapulco, Gro.",27.1
-99.5,17.6,ODZGR,GRO,"Observatorio de Zumpango, Gro.",22.5
-104.41,29.56,OJNCH,CHIH,"Ojinaga, Chih.",8.4
-98.74,17.78,OLNGR,GRO,"Olinal·, Gro.",21.5
-98.51,21.84,OLVVC,VER,"El Olivo, Ver.",19.4
-89.85,20.55,OPIYC,YUC,"Opichen, Yuc.",25
-110.71,29.23,ORGSO,SON,"El OrÈgano, Son.",15.6
-98.6,21.17,ORZHD,HGO,"San Felipe Orizatl·n, Hgo.",19.6
-97.1,18.85,ORZVC,VER,"Observatorio de Orizaba, Ver.",17.5
-94.4,16.5,OSTOX,OAX,"Ostuta, Oax.",25.5
-89.39,20.29,OXKYC,YUC,"Oxkutzcab, Yuc.",23.5
-97.53,19.7,OYAPB,PUE,"Oyameles, Pue.",8.4
-104.66,24.24,PA2DR,DGO,"PeÒa del ¡guila hidromÈtrica, Dgo.",10.8
-98.9,24.05,PADTP,TAMP,"Padilla, Tamps.",17
-104.66,24.2,PAGDR,DGO,"PeÒa del ¡guila, Dgo.",10.8
-105.02,22.38,PAJNR,NAY,"Pajaritos, Nay.",21.5
-101.97,21.92,PALAG,AGS,"Palo Alto, Ags.",13.1
-100.82,20.85,PALGJ,GTO,"Presa Allende, Gto. SMN*",16.5
-102.8,22.35,PALZC,ZAC,"Palomas, Zac.",9.6
-99.22,24.99,PAMNL,NL,"La Pamona, N.L.",15.3
-97.8,25.8,PANTP,TAMP,"Pueblo An·huac, Tamps.",15.9
-96.08,18.17,PAPOX,OAX,"Papaloapan, Oax.",22.2
-93.33,18.42,PARAISO,TAB,"ParaÌso, Tab. SMN*",24.7
-102.18,25.44,PARCL,COAH,"Parras, Coah.",13.7
-102.28,22.15,PBLAG,AGS,"PabellÛn, Ags.",13.5
-99.18,19.74,PCGMX,MEX,"Puente Colgante, MÈx.",12.1
-98.74,20.12,PCHHD,HGO,"Pachuca, Hgo.",13.1
-91.97,15.85,PCOCP,CHIS,"Puente Concordia, Chis.",22.8
-98.75,20.12,PCOHD,HGO,"Observatorio de Pachuca, Hgo.",14
-97.25,18.92,PCRPB,PUE,"Paso Carretas, Pue.",11.5
-87.08,20.63,PDCQR,QROO,"Playa del Carmen, Q. Roo.",24
-109.08,29.43,PDNSO,SON,"Paso N·cori, Son.",12.5
-96.14,19.04,PDTVC,VER,"Paso del Toro, Ver.",23.3
-102.42,22.14,PECAG,AGS,"Plutarco ElÌas Calles, Ags.",13.6
-109.64,28.98,PECSO,SON,"Plutarco ElÌas Calles, Son.",15.3
-99.2,19.33,PEDSE,CDMX,"Pedregal, Cd. de MÈx. SGIRPC*",14.5
-97.81,21.18,PEMVC,VER,"El Moralillo, Ver.",19.5
-101.11,20.52,PERGJ,GTO,"Pericos, Gto.",15.3
-98.33,20.06,PERHD,HGO,"La Esperanza, Hgo.",12.7
-97.24,19.58,PERVC,VER,"Perote, Ver.",9.5
-99.45,17.48,PETGR,GRO,"Petaquillas, Gro.",23.9
-88.93,20.13,PETYC,YUC,"Peto, Yuc.",24.6
-93.22,15.69,PIJCP,CHIS,"Pijijiapan, Chis.",29.1
-99.02,24.21,PILTP,TAMP,"PilÛn, Tamps.",18.7
-101.4,22.12,PINZC,ZAC,"Pino Su·rez, Zac.",10.7
-99.32,18.63,PIXMR,MOR,"Puente de Ixtla, Mor.",20.5
-98.26,18.2,PIXPB,PUE,"Piaxtla, Pue.",20.7
-93.39,17.58,PLACP,CHIS,"Platanar, Chis.",22.5
-93.38,17.61,PLATANAR,CHIS,"Platanar, Chis. SGT*",22.6
-109.93,23.97,PLNBS,BCS,"Los Planes, B.C.S.",15.5
-91.99,17.53,PLQCP,CHIS,"Palenque, Chis. SMN*",24
-116.6,31.89,PLZBN,BC,"Presa LÛpez Zamora, B.C. SMN*",10.6
-92.09,18.25,PLZCA,CAMP,"Palizada, Camp.",24.6
-108.58,26.51,PMHSI,SIN,"Miguel Hidalgo, Sin.",18
-99.82,21.06,PMLQT,QRO,"PeÒamiller, Qro.",17
-110.73,29.21,PMOSO,SON,"Ing. Rodolfo FÈlix ValdÈs, Son.",14.8
-102.9,21.71,PMOZC,ZAC,"Los MoraleÒos, Zac.",17.4
-99.83,21.65,PMYSL,SLP,"Pedro Montoya, S.L.P.",17.2
-98.18,22.06,PNCVC,VER,"P·nuco, Ver.",19.5
-100.53,28.71,PNGCL,COAH,"Observatorio de Piedras Negras, Coah.",14
-100.88,21.1,PNLGJ,GTO,"PeÒuelitas, Gto.",13.8
-103.81,19.33,PNTCM,COL,"PeÒitas, Col.",25.3
-98.05,16.35,PNTOX,OAX,"Pinotepa, Oax. SMN*",27
-92.88,17.85,PNVTB,TAB,"Pueblo Nuevo, Tab.",23.9
-100.5,21.22,POZGJ,GTO,"Pozos, Gto.",10.9
-97.32,20.45,PPNVC,VER,"Papantla, Ver.",17.7
-97.48,20.54,PRCVC,VER,"Poza Rica, Ver.",19.6
-99.27,19.52,PREMX,MEX,"Presa MadÌçn, MÈx. SMN*",10.6
-99.33,20.36,PRGHD,HGO,"Javier Rojo GÛmez, Hgo.",15.9
-99.16,18.77,PROMR,MOR,"Progreso, Mor.",18.6
-89.65,21.28,PROYC,YUC,"Observatorio de Progreso, Yuc.",25.1
-99.31,19.96,PRQHD,HGO,"Requena, Hgo.",15
